X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
195;739;0.1018056;0.6847559;0.1018056;0.6847559;504.7;0.17508;False;6/1/2026 7:09:26 PM:62;1780315766062;;
259;746;0.134908;0.6913763;0.1949838;0.7327071;504.6;0.183127;False;6/1/2026 7:09:26 PM:209;1780315766209;;
236;710;0.1231726;0.6582202;0.0863929;0.5741303;504.5;0.1688434;False;6/1/2026 7:09:26 PM:331;1780315766331;;
236;710;0.1229254;0.6579074;0.1148829;0.64291;502.3;0.1673602;False;6/1/2026 7:09:26 PM:441;1780315766441;;
243;724;0.1265885;0.6711948;0.1523999;0.735307;501.8;0.1634158;False;6/1/2026 7:09:26 PM:524;1780315766524;;
234;713;0.1223235;0.6604985;0.09066954;0.5938622;501.2;0.1659074;False;6/1/2026 7:09:26 PM:587;1780315766587;;
229;709;0.1194307;0.6569359;0.09223461;0.6155239;500.7;0.1659749;False;6/1/2026 7:09:26 PM:664;1780315766664;;
225;640;0.1173668;0.5933092;0.0875901;0.4228882;500.2;0.1827377;False;6/1/2026 7:09:26 PM:718;1780315766718;;
221;628;0.1152245;0.5818601;0.08297811;0.502641;499.8;0.182747;False;6/1/2026 7:09:26 PM:772;1780315766772;;
216;610;0.1128009;0.5653743;0.07760391;0.4694578;498.5;0.178371;False;6/1/2026 7:09:26 PM:829;1780315766829;;
216;537;0.1125392;0.497559;0.1008411;0.3167917;497.2;0.1977451;False;6/1/2026 7:09:26 PM:881;1780315766881;;
215;526;0.1121703;0.4878762;0.08933227;0.4060648;495.9;0.1854403;False;6/1/2026 7:09:26 PM:926;1780315766926;;
215;564;0.1120485;0.5230031;0.09606864;0.6327261;494.7;0.1857849;False;6/1/2026 7:09:26 PM:989;1780315766989;;
215;526;0.1120143;0.4877379;0.09397702;0.3489774;494.3;0.1861322;False;6/1/2026 7:09:27 PM:36;1780315767036;;
