X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
779;129;0.5291535;0.2414403;0.5291535;0.2414403;641.5;0.1361131;False;5/31/2026 7:12:52 PM:220;1780229572220;;
772;95;0.5242733;0.1780149;0.5033241;0.06485147;667.8;0.1317887;True;5/31/2026 7:12:54 PM:145;1780229574145;;
772;94;0.5241623;0.1765984;0.5033241;0.06485147;691.5;0.1306881;True;5/31/2026 7:12:54 PM:204;1780229574204;;
726;177;0.493515;0.332317;0.439926;0.4600407;693.3;0.1301337;True;5/31/2026 7:12:56 PM:342;1780229576342;;
726;178;0.493104;0.3339226;0.4476878;0.412479;694.9;0.1310463;True;5/31/2026 7:12:56 PM:407;1780229576407;;
519;182;0.3528209;0.3414142;0.2669556;0.3897718;692.4;0.1216811;True;5/31/2026 7:13:01 PM:544;1780229581544;;
517;187;0.3513625;0.3496253;0.3430246;0.4679188;690.1;0.1261642;True;5/31/2026 7:13:01 PM:603;1780229581603;;
508;190;0.3450419;0.3568159;0.2714066;0.4569045;682.7;0.1121313;True;5/31/2026 7:13:01 PM:741;1780229581741;;
492;194;0.3342153;0.3639028;0.2376103;0.4924584;676.0;0.1138215;True;5/31/2026 7:13:01 PM:800;1780229581800;;
427;155;0.2900244;0.2901326;0.1602582;0.1016861;668.7;0.1285373;True;5/31/2026 7:13:01 PM:881;1780229581881;;
515;156;0.349635;0.2919818;0.4517853;0.3601288;675.6;0.1145902;True;5/31/2026 7:13:01 PM:945;1780229581945;;
563;157;0.3827232;0.2943648;0.4632391;0.3737228;681.9;0.1146342;True;5/31/2026 7:13:02 PM:3;1780229582003;;
633;170;0.4300754;0.3184167;0.5077962;0.4693721;737.4;0.1397767;False;5/31/2026 7:13:02 PM:105;1780229582105;;
606;177;0.4115995;0.3325336;0.3592647;0.4426232;727.1;0.1175928;True;5/31/2026 7:13:02 PM:748;1780229582748;;
607;185;0.4121867;0.3469025;0.4170128;0.5228117;717.9;0.1198282;True;5/31/2026 7:13:02 PM:807;1780229582807;;
599;189;0.4069961;0.3550994;0.3610878;0.4882513;712.5;0.1367731;False;5/31/2026 7:13:03 PM:32;1780229583032;;
564;190;0.3835541;0.3553358;0.2795424;0.4737587;707.6;0.138136;False;5/31/2026 7:13:03 PM:89;1780229583089;;
469;193;0.3186842;0.3613555;0.2121441;0.5005667;701.5;0.1384016;False;5/31/2026 7:13:03 PM:245;1780229583245;;
436;193;0.2963603;0.3620858;0.1932236;0.4813042;696.0;0.1390605;False;5/31/2026 7:13:03 PM:303;1780229583303;;
604;191;0.4101063;0.3577071;0.5142378;0.3384604;700.2;0.1171267;True;5/31/2026 7:13:03 PM:438;1780229583438;;
604;196;0.4103701;0.3676923;0.4130829;0.500864;703.9;0.1174122;True;5/31/2026 7:13:03 PM:496;1780229583496;;
597;198;0.4055487;0.3708067;0.3511244;0.4724181;703.7;0.1296345;True;5/31/2026 7:13:03 PM:560;1780229583560;;
587;198;0.3991644;0.3717708;0.3398317;0.4366365;703.5;0.1301955;True;5/31/2026 7:13:03 PM:637;1780229583637;;
585;177;0.3975816;0.3325607;0.3506899;0.1770783;696.4;0.1288389;True;5/31/2026 7:13:03 PM:699;1780229583699;;
