X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
443;106;0.231171;0.09839953;0.231171;0.09839953;504.3;0.1642117;False;6/1/2026 7:11:56 PM:140;1780315916140;;
613;454;0.3195404;0.4212554;0.4083458;0.618001;505.2;0.1677507;False;6/1/2026 7:11:56 PM:274;1780315916274;;
666;522;0.3469956;0.4838464;0.4180321;0.5997112;507.4;0.178337;False;6/1/2026 7:11:56 PM:344;1780315916344;;
678;552;0.3531336;0.5117985;0.3893731;0.5881491;508.2;0.175974;False;6/1/2026 7:11:56 PM:419;1780315916419;;
764;458;0.398104;0.4249343;0.5036174;0.2194976;507.4;0.1728015;False;6/1/2026 7:11:56 PM:471;1780315916471;;
765;530;0.3988609;0.4908035;0.409904;0.6166433;506.2;0.1748225;False;6/1/2026 7:11:56 PM:567;1780315916567;;
778;529;0.4054718;0.4905356;0.4443761;0.4783835;507.2;0.1756253;False;6/1/2026 7:11:56 PM:641;1780315916641;;
809;465;0.4218076;0.4313756;0.4843096;0.2885343;506.9;0.1716596;False;6/1/2026 7:11:56 PM:713;1780315916713;;
822;442;0.4282773;0.4093646;0.4781292;0.3040199;506.4;0.1719431;False;6/1/2026 7:11:56 PM:768;1780315916768;;
819;496;0.42676;0.4596503;0.4155401;0.5745322;506.7;0.1645133;False;6/1/2026 7:11:56 PM:856;1780315916856;;
820;496;0.427335;0.4601764;0.4445143;0.4747006;505.5;0.1723474;False;6/1/2026 7:11:56 PM:928;1780315916928;;
851;390;0.4433488;0.3614173;0.5153276;0.160744;506.4;0.1702536;False;6/1/2026 7:11:56 PM:978;1780315916978;;
872;326;0.4544349;0.3024397;0.5199861;0.1438494;507.3;0.1702554;False;6/1/2026 7:11:57 PM:23;1780315917023;;
880;303;0.4584675;0.2810928;0.4986372;0.2023709;504.9;0.1768373;False;6/1/2026 7:11:57 PM:92;1780315917092;;
888;287;0.4625653;0.2660936;0.5092276;0.1842908;505.2;0.1790385;False;6/1/2026 7:11:57 PM:141;1780315917141;;
890;284;0.4637699;0.2637259;0.4986291;0.2276759;503.0;0.1772957;False;6/1/2026 7:11:57 PM:191;1780315917191;;
891;292;0.4642927;0.2711735;0.4763178;0.3285751;502.3;0.1772202;False;6/1/2026 7:11:57 PM:250;1780315917250;;
898;271;0.4681012;0.2511714;0.5150291;0.1505324;501.6;0.1771654;False;6/1/2026 7:11:57 PM:298;1780315917298;;
903;255;0.4705107;0.2368737;0.5126966;0.1476711;500.5;0.1848215;False;6/1/2026 7:11:57 PM:347;1780315917347;;
901;304;0.4697482;0.2823292;0.4631523;0.4108457;499.8;0.1865362;False;6/1/2026 7:11:57 PM:408;1780315917408;;
922;274;0.4802627;0.2545298;0.5450014;0.1333742;499.5;0.1799914;False;6/1/2026 7:11:57 PM:457;1780315917457;;
923;258;0.481205;0.2390066;0.5119193;0.1420004;498.1;0.1914153;False;6/1/2026 7:11:57 PM:504;1780315917504;;
924;243;0.4812571;0.2255536;0.5029672;0.1404329;496.8;0.191506;False;6/1/2026 7:11:57 PM:570;1780315917570;;
925;235;0.4821204;0.218335;0.5121846;0.1438065;497.1;0.1813873;False;6/1/2026 7:11:57 PM:628;1780315917628;;
926;237;0.4825315;0.2194919;0.495535;0.2328544;497.3;0.1797311;False;6/1/2026 7:11:57 PM:682;1780315917682;;
912;335;0.4752104;0.3106825;0.4435999;0.4653575;497.4;0.1723789;False;6/1/2026 7:11:57 PM:757;1780315917757;;
912;335;0.4752747;0.3107991;0.4810485;0.3126571;498.8;0.1721195;False;6/1/2026 7:11:57 PM:827;1780315917827;;
917;294;0.4779557;0.2728629;0.5081299;0.1438108;500.5;0.1790193;False;6/1/2026 7:11:57 PM:892;1780315917892;;
917;300;0.4780103;0.2786157;0.4916486;0.3239751;498.9;0.1741928;False;6/1/2026 7:11:57 PM:945;1780315917945;;
917;300;0.478047;0.2781199;0.4899757;0.2560574;498.3;0.1793814;False;6/1/2026 7:11:58 PM:12;1780315918012;;
918;290;0.4783551;0.2692871;0.4957051;0.1979687;497.0;0.1779635;False;6/1/2026 7:11:58 PM:73;1780315918073;;
918;300;0.4784921;0.2779525;0.4848258;0.3352063;497.3;0.1797843;False;6/1/2026 7:11:58 PM:126;1780315918126;;
918;304;0.4785707;0.2817487;0.4820446;0.3247416;497.5;0.1797813;False;6/1/2026 7:11:58 PM:173;1780315918173;;
919;303;0.4790848;0.2812397;0.496682;0.2649117;496.7;0.1839919;False;6/1/2026 7:11:58 PM:236;1780315918236;;
913;293;0.4759328;0.272157;0.4523617;0.2061245;495.5;0.1840923;False;6/1/2026 7:11:58 PM:301;1780315918301;;
918;282;0.4786108;0.2616115;0.5083809;0.1813587;494.5;0.184258;False;6/1/2026 7:11:58 PM:357;1780315918357;;
919;283;0.4787182;0.2627582;0.4895904;0.2763624;494.7;0.1848057;False;6/1/2026 7:11:58 PM:428;1780315918428;;
919;276;0.4787413;0.256304;0.4870399;0.1907107;495.0;0.1868051;False;6/1/2026 7:11:58 PM:480;1780315918480;;
911;311;0.4749364;0.288069;0.4443952;0.4040121;494.7;0.1855678;False;6/1/2026 7:11:58 PM:530;1780315918530;;
908;377;0.4734045;0.3498446;0.4541105;0.4959545;496.2;0.1847143;False;6/1/2026 7:11:58 PM:593;1780315918593;;
894;431;0.465942;0.399704;0.4185141;0.5430189;499.0;0.1885574;False;6/1/2026 7:11:58 PM:645;1780315918645;;
882;493;0.4594584;0.4570096;0.4164194;0.5936266;501.5;0.1882252;False;6/1/2026 7:11:58 PM:715;1780315918715;;
798;523;0.4157091;0.4844146;0.319313;0.5848296;502.2;0.1872592;False;6/1/2026 7:11:58 PM:782;1780315918782;;
784;539;0.4087614;0.4994946;0.3638431;0.5822975;502.6;0.1879576;False;6/1/2026 7:11:58 PM:847;1780315918847;;
782;555;0.4075762;0.5140634;0.3821277;0.6003962;503.0;0.1879241;False;6/1/2026 7:11:58 PM:915;1780315918915;;
787;559;0.4100636;0.5183812;0.428337;0.5773737;504.1;0.1863918;False;6/1/2026 7:11:58 PM:983;1780315918983;;
796;557;0.415103;0.5162718;0.4494168;0.4953398;503.8;0.1890319;False;6/1/2026 7:11:59 PM:39;1780315919039;;
799;561;0.4162079;0.5203018;0.4334528;0.575906;504.5;0.1876942;False;6/1/2026 7:11:59 PM:101;1780315919101;;
801;567;0.417321;0.5251364;0.4355046;0.585202;505.7;0.1866149;False;6/1/2026 7:11:59 PM:176;1780315919176;;
801;567;0.4176056;0.5256194;0.4316383;0.546401;506.2;0.1897919;False;6/1/2026 7:11:59 PM:227;1780315919227;;
820;429;0.4271607;0.3974721;0.4817055;0.1974542;505.7;0.1913541;False;6/1/2026 7:11:59 PM:284;1780315919284;;
820;458;0.4272845;0.4243004;0.4305113;0.5596668;504.5;0.1879506;False;6/1/2026 7:11:59 PM:353;1780315919353;;
823;374;0.4290364;0.3468606;0.4582519;0.190574;504.8;0.1862348;False;6/1/2026 7:11:59 PM:404;1780315919404;;
834;369;0.4345163;0.3420508;0.4805416;0.3157023;505.9;0.1809231;False;6/1/2026 7:11:59 PM:459;1780315919459;;
830;434;0.4325294;0.4026895;0.4160904;0.5780713;507.2;0.1755676;False;6/1/2026 7:11:59 PM:519;1780315919519;;
834;434;0.4345489;0.4021738;0.4658266;0.3952406;506.1;0.17542;False;6/1/2026 7:11:59 PM:567;1780315919567;;
836;434;0.4357712;0.4023951;0.4634529;0.408234;505.0;0.1754554;False;6/1/2026 7:11:59 PM:616;1780315919616;;
835;476;0.4351072;0.4412857;0.4270495;0.577768;504.8;0.1830871;False;6/1/2026 7:11:59 PM:676;1780315919676;;
849;411;0.442372;0.380616;0.4952779;0.2204258;504.4;0.1705096;False;6/1/2026 7:11:59 PM:722;1780315919722;;
859;371;0.4474745;0.3441976;0.4952753;0.2204486;504.1;0.1705044;False;6/1/2026 7:11:59 PM:769;1780315919769;;
859;371;0.4476952;0.3443266;0.468011;0.3663175;502.7;0.1793689;False;6/1/2026 7:11:59 PM:833;1780315919833;;
857;342;0.4466196;0.3174418;0.4351125;0.2147883;503.4;0.1728576;False;6/1/2026 7:11:59 PM:886;1780315919886;;
750;341;0.3910176;0.3163655;0.2802934;0.296251;505.3;0.1881274;False;6/1/2026 7:11:59 PM:935;1780315919935;;
690;342;0.3593904;0.3166861;0.2854404;0.3326687;506.6;0.1959324;False;6/1/2026 7:11:59 PM:994;1780315919994;;
607;371;0.3165297;0.3441753;0.2217674;0.4660301;507.6;0.1936252;False;6/1/2026 7:12:00 PM:43;1780315920043;;
536;371;0.2792554;0.3443446;0.1913214;0.3634914;508.4;0.1936396;False;6/1/2026 7:12:00 PM:90;1780315920090;;
593;433;0.3092982;0.4013197;0.4053669;0.5586532;508.2;0.1839243;False;6/1/2026 7:12:00 PM:149;1780315920149;;
594;414;0.3094375;0.3834974;0.332296;0.2891437;508.4;0.183223;False;6/1/2026 7:12:00 PM:195;1780315920195;;
575;388;0.2997852;0.3593387;0.2564773;0.249227;508.2;0.1856952;False;6/1/2026 7:12:00 PM:244;1780315920244;;
617;427;0.3218159;0.3960982;0.4008444;0.5174292;507.9;0.1856666;False;6/1/2026 7:12:00 PM:304;1780315920304;;
677;461;0.3528144;0.4276378;0.4423996;0.5429565;508.5;0.1785198;False;6/1/2026 7:12:00 PM:364;1780315920364;;
697;499;0.3633527;0.4625483;0.4236636;0.5921412;508.4;0.1886548;False;6/1/2026 7:12:00 PM:419;1780315920419;;
697;391;0.3634986;0.3624665;0.3791275;0.1868532;510.2;0.1891193;False;6/1/2026 7:12:00 PM:484;1780315920484;;
737;391;0.3840326;0.3626744;0.466404;0.3966276;510.2;0.1839305;False;6/1/2026 7:12:00 PM:534;1780315920534;;
602;319;0.3136455;0.2961791;0.1952501;0.1367141;510.2;0.1893645;False;6/1/2026 7:12:00 PM:584;1780315920584;;
604;297;0.314757;0.275284;0.3373559;0.193467;510.1;0.1893249;False;6/1/2026 7:12:00 PM:644;1780315920644;;
578;289;0.3015596;0.2681276;0.2547932;0.2152894;510.9;0.1837437;False;6/1/2026 7:12:00 PM:696;1780315920696;;
638;289;0.3325786;0.2681482;0.4266211;0.2728254;510.7;0.173064;False;6/1/2026 7:12:00 PM:755;1780315920755;;
657;488;0.342492;0.4519601;0.3980168;0.6662856;508.8;0.187864;False;6/1/2026 7:12:00 PM:831;1780315920831;;
655;485;0.3411769;0.4496299;0.329964;0.3816642;507.7;0.1807638;False;6/1/2026 7:12:00 PM:887;1780315920887;;
655;506;0.3415025;0.4685934;0.3621346;0.5412183;507.3;0.185119;False;6/1/2026 7:12:00 PM:944;1780315920944;;
692;524;0.3605326;0.4859788;0.4325783;0.5566705;507.6;0.1857714;False;6/1/2026 7:12:01 PM:11;1780315921011;;
722;503;0.3763938;0.4659997;0.4485668;0.3632395;507.9;0.1912875;False;6/1/2026 7:12:01 PM:69;1780315921069;;
736;518;0.3835214;0.4800478;0.4396563;0.5528064;509.4;0.1835858;False;6/1/2026 7:12:01 PM:124;1780315921124;;
737;519;0.3839561;0.4812724;0.390436;0.5009573;508.8;0.1856342;False;6/1/2026 7:12:01 PM:191;1780315921191;;
757;424;0.3944442;0.393245;0.4564781;0.2107195;509.0;0.1876538;False;6/1/2026 7:12:01 PM:248;1780315921248;;
778;424;0.4053734;0.392596;0.4688379;0.380354;509.2;0.1876264;False;6/1/2026 7:12:01 PM:309;1780315921309;;
779;484;0.4059735;0.4482515;0.4222935;0.5871729;508.3;0.1764263;False;6/1/2026 7:12:01 PM:382;1780315921382;;
752;371;0.3916807;0.3439008;0.3386155;0.1457623;509.4;0.182628;False;6/1/2026 7:12:01 PM:434;1780315921434;;
753;372;0.392337;0.3445938;0.4150914;0.3899085;510.5;0.1816348;False;6/1/2026 7:12:01 PM:495;1780315921495;;
753;513;0.3924307;0.4757549;0.3939014;0.6693377;512.6;0.1808716;False;6/1/2026 7:12:01 PM:580;1780315921580;;
764;514;0.3982964;0.4761799;0.4431197;0.4955079;514.2;0.1808986;False;6/1/2026 7:12:01 PM:640;1780315921640;;
728;448;0.3796071;0.4151473;0.3199745;0.2666883;515.7;0.1843509;False;6/1/2026 7:12:01 PM:701;1780315921701;;
741;483;0.3862083;0.4476136;0.4274025;0.5560008;517.2;0.1870481;False;6/1/2026 7:12:01 PM:783;1780315921783;;
718;335;0.3741592;0.3108027;0.3244136;0.1006949;518.4;0.1904861;False;6/1/2026 7:12:01 PM:839;1780315921839;;
732;417;0.3812614;0.3870366;0.4258833;0.5750985;519.4;0.1834114;False;6/1/2026 7:12:01 PM:906;1780315921906;;
732;499;0.3814367;0.4625212;0.3975482;0.6352875;520.4;0.1833604;False;6/1/2026 7:12:01 PM:981;1780315921981;;
736;494;0.3838052;0.4580578;0.4160458;0.4272382;521.9;0.1867756;False;6/1/2026 7:12:02 PM:49;1780315922049;;
769;481;0.4006911;0.4461045;0.4706582;0.3823375;522.0;0.1837423;False;6/1/2026 7:12:02 PM:114;1780315922114;;
770;523;0.4010949;0.4847746;0.4115747;0.6038157;521.7;0.1841865;False;6/1/2026 7:12:02 PM:185;1780315922185;;
746;372;0.3890158;0.3444674;0.3399508;0.1284702;521.7;0.1843767;False;6/1/2026 7:12:02 PM:240;1780315922240;;
749;375;0.3901087;0.3474078;0.4130565;0.4233913;522.8;0.1859228;False;6/1/2026 7:12:02 PM:298;1780315922298;;
752;447;0.3920624;0.4138957;0.4206909;0.5905836;523.0;0.1866986;False;6/1/2026 7:12:02 PM:367;1780315922367;;
749;429;0.3902538;0.3974883;0.3736947;0.3293388;523.6;0.1837632;False;6/1/2026 7:12:02 PM:424;1780315922424;;
755;469;0.3935489;0.4351682;0.4270509;0.5705171;523.2;0.1858688;False;6/1/2026 7:12:02 PM:488;1780315922488;;
755;522;0.393609;0.484054;0.4056435;0.6280311;523.0;0.1864582;False;6/1/2026 7:12:02 PM:561;1780315922561;;
760;523;0.3958334;0.4845152;0.4272678;0.494527;523.0;0.1834271;False;6/1/2026 7:12:02 PM:623;1780315922623;;
764;528;0.3983167;0.4897028;0.4338526;0.55523;522.5;0.1835791;False;6/1/2026 7:12:02 PM:681;1780315922681;;
764;537;0.3984242;0.4973273;0.4001246;0.5738257;523.1;0.1816626;False;6/1/2026 7:12:02 PM:746;1780315922746;;
724;426;0.377567;0.3949139;0.3085904;0.2058393;523.7;0.181744;False;6/1/2026 7:12:02 PM:796;1780315922796;;
711;429;0.3707665;0.3976162;0.3313177;0.4777531;522.7;0.1838451;False;6/1/2026 7:12:02 PM:850;1780315922850;;
720;458;0.3754825;0.4246556;0.4102761;0.5597074;523.9;0.1843809;False;6/1/2026 7:12:02 PM:919;1780315922919;;
721;459;0.3756297;0.4257191;0.388437;0.4368692;524.0;0.1877205;False;6/1/2026 7:12:02 PM:974;1780315922974;;
703;365;0.3664221;0.3380524;0.3190735;0.1667228;524.1;0.1879062;False;6/1/2026 7:12:03 PM:25;1780315923025;;
704;305;0.3670531;0.2832005;0.3816986;0.1664413;524.1;0.1855193;False;6/1/2026 7:12:03 PM:90;1780315923090;;
656;246;0.3418793;0.2286613;0.2675529;0.09969541;524.1;0.1855961;False;6/1/2026 7:12:03 PM:147;1780315923147;;
654;220;0.3410424;0.2045061;0.3268687;0.1179905;523.2;0.1813566;False;6/1/2026 7:12:03 PM:206;1780315923206;;
699;366;0.3644627;0.3394426;0.4332193;0.5467986;522.6;0.1780675;False;6/1/2026 7:12:03 PM:275;1780315923275;;
