X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
434;15;0.2948312;0.02935048;0.2948312;0.02935048;402.4;0.1368817;False;5/31/2026 6:59:07 PM:596;1780228747596;;
434;15;0.294917;0.02933014;0.2991737;0.02605705;400.4;0.144405;False;5/31/2026 6:59:07 PM:736;1780228747736;;
424;15;0.2880382;0.02935614;0.243917;0.03339003;400.4;0.0867347;True;5/31/2026 6:59:07 PM:810;1780228747810;;
448;75;0.3046218;0.1407799;0.3688581;0.4147373;398.0;0.08268611;True;5/31/2026 6:59:07 PM:883;1780228747883;;
478;76;0.3251589;0.1438631;0.4021098;0.2017772;396.2;0.0791629;True;5/31/2026 6:59:07 PM:952;1780228747952;;
378;74;0.2569852;0.1391002;0.1295854;0.08023135;393.9;0.08928081;True;5/31/2026 6:59:08 PM:14;1780228748014;;
325;72;0.221204;0.1359481;0.1287303;0.0810892;391.9;0.08931407;True;5/31/2026 6:59:08 PM:75;1780228748075;;
286;75;0.1944579;0.1418976;0.1141201;0.2116708;390.3;0.08925154;True;5/31/2026 6:59:08 PM:141;1780228748141;;
262;83;0.178472;0.1558117;0.1099635;0.2754898;388.8;0.08925665;True;5/31/2026 6:59:08 PM:202;1780228748202;;
244;88;0.1656815;0.1661023;0.1012456;0.2791764;386.6;0.101954;True;5/31/2026 6:59:08 PM:265;1780228748265;;
224;116;0.1524927;0.2182726;0.08376209;0.4455675;384.4;0.1047641;True;5/31/2026 6:59:08 PM:331;1780228748331;;
212;133;0.1445756;0.2488961;0.08376779;0.4455534;382.4;0.1047684;True;5/31/2026 6:59:08 PM:392;1780228748392;;
208;131;0.1418032;0.2458762;0.09739487;0.217994;381.8;0.1076495;True;5/31/2026 6:59:08 PM:459;1780228748459;;
194;145;0.1319993;0.2724972;0.06179198;0.448094;379.5;0.1103118;True;5/31/2026 6:59:08 PM:525;1780228748525;;
184;153;0.1253998;0.2876976;0.05984212;0.4423377;377.4;0.110328;True;5/31/2026 6:59:08 PM:588;1780228748588;;
183;129;0.124506;0.2413958;0.108337;0.07555453;375.1;0.1109938;True;5/31/2026 6:59:08 PM:650;1780228748650;;
182;124;0.1238905;0.2327574;0.1070029;0.1606639;375.1;0.1123481;True;5/31/2026 6:59:08 PM:714;1780228748714;;
181;121;0.1234675;0.2271554;0.1070044;0.1606451;375.2;0.1123463;True;5/31/2026 6:59:08 PM:776;1780228748776;;
229;102;0.1555894;0.1924938;0.238723;0.02292375;376.7;0.09447684;True;5/31/2026 6:59:08 PM:844;1780228748844;;
838;124;0.5694095;0.2331886;0.8020103;0.4053448;378.8;0.1010023;True;5/31/2026 6:59:08 PM:910;1780228748910;;
1025;137;0.6962013;0.2568674;0.8019695;0.4053922;380.6;0.1009962;True;5/31/2026 6:59:08 PM:971;1780228748971;;
1095;136;0.74373;0.2556146;0.7970062;0.2305599;381.5;0.1004711;True;5/31/2026 6:59:09 PM:35;1780228749035;;
1130;138;0.767252;0.2584772;0.8013366;0.3151775;382.3;0.1004609;True;5/31/2026 6:59:09 PM:106;1780228749106;;
1187;138;0.8062921;0.2583408;0.8679788;0.2535044;382.0;0.1025074;True;5/31/2026 6:59:09 PM:172;1780228749172;;
1179;147;0.8010001;0.2758821;0.774178;0.4070617;383.8;0.09711598;True;5/31/2026 6:59:09 PM:239;1780228749239;;
1232;150;0.8367172;0.2818486;0.9099741;0.378028;384.0;0.09711365;True;5/31/2026 6:59:09 PM:302;1780228749302;;
1260;153;0.8560388;0.2860581;0.909933;0.3780535;384.2;0.09711479;True;5/31/2026 6:59:09 PM:366;1780228749366;;
557;128;0.3786242;0.2401274;0.1215545;0.06914301;386.2;0.09289046;True;5/31/2026 6:59:09 PM:431;1780228749431;;
344;114;0.2335539;0.2131351;0.1215566;0.06914225;387.9;0.09289207;True;5/31/2026 6:59:09 PM:494;1780228749494;;
224;124;0.1522883;0.2334844;0.07450374;0.3683303;386.8;0.1001963;True;5/31/2026 6:59:09 PM:556;1780228749556;;
175;137;0.1193701;0.2566373;0.0759206;0.4104126;385.9;0.1066356;True;5/31/2026 6:59:09 PM:621;1780228749621;;
153;145;0.1044178;0.2711696;0.07591835;0.4104233;385.1;0.1066351;True;5/31/2026 6:59:09 PM:682;1780228749682;;
158;129;0.1079267;0.2423487;0.1209442;0.1071446;384.5;0.1124908;True;5/31/2026 6:59:09 PM:746;1780228749746;;
160;118;0.108835;0.2216982;0.1131552;0.09444419;383.9;0.1046104;True;5/31/2026 6:59:09 PM:807;1780228749807;;
161;110;0.1095533;0.2068051;0.1145706;0.08479199;383.4;0.1046068;True;5/31/2026 6:59:09 PM:866;1780228749866;;
160;110;0.1089565;0.2067257;0.1045811;0.2027644;381.4;0.1072051;True;5/31/2026 6:59:09 PM:930;1780228749930;;
159;110;0.1085891;0.2066729;0.1045801;0.2027682;379.6;0.1072043;True;5/31/2026 6:59:09 PM:987;1780228749987;;
160;106;0.1088807;0.1982664;0.1244059;0.1004114;378.7;0.1020098;True;5/31/2026 6:59:10 PM:49;1780228750049;;
160;106;0.1089717;0.1981475;0.1108274;0.1935284;377.9;0.1104709;True;5/31/2026 6:59:10 PM:111;1780228750111;;
160;106;0.1090963;0.1981595;0.113402;0.1986668;377.2;0.1104649;True;5/31/2026 6:59:10 PM:173;1780228750173;;
160;104;0.1091906;0.1956744;0.1144059;0.1366858;377.1;0.1038018;True;5/31/2026 6:59:10 PM:235;1780228750235;;
159;105;0.108591;0.1974941;0.09730697;0.230871;377.0;0.1038324;True;5/31/2026 6:59:10 PM:291;1780228750291;;
157;110;0.1067848;0.2068327;0.08357984;0.2960939;377.0;0.106019;True;5/31/2026 6:59:10 PM:352;1780228750352;;
157;113;0.1067613;0.2118408;0.1029763;0.287089;377.7;0.1002152;True;5/31/2026 6:59:10 PM:413;1780228750413;;
