X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
142;479;0.09685282;0.8966115;0.09685282;0.8966115;628.9;0.1159624;True;5/31/2026 7:17:15 PM:265;1780229835265;;
406;304;0.2760106;0.5690323;0.3964396;0.2763038;622.3;0.1501991;False;5/31/2026 7:17:15 PM:442;1780229835442;;
473;198;0.3211172;0.3702815;0.4018453;0.07881436;621.4;0.1281998;True;5/31/2026 7:17:15 PM:556;1780229835556;;
484;196;0.3287504;0.3674581;0.3750379;0.3125419;621.9;0.1321515;True;5/31/2026 7:17:15 PM:627;1780229835627;;
484;192;0.3287432;0.3602519;0.3284308;0.2744801;621.2;0.1417752;False;5/31/2026 7:17:15 PM:711;1780229835711;;
549;190;0.3731974;0.355848;0.4822406;0.2700644;618.5;0.130916;True;5/31/2026 7:17:15 PM:779;1780229835779;;
533;184;0.3624281;0.3452033;0.3115864;0.2287288;616.1;0.129566;True;5/31/2026 7:17:15 PM:864;1780229835864;;
546;191;0.3707245;0.3577317;0.4173142;0.4357597;613.7;0.1413681;False;5/31/2026 7:17:15 PM:932;1780229835932;;
546;180;0.3707103;0.3380142;0.3696433;0.2053938;611.2;0.1288279;True;5/31/2026 7:17:16 PM:24;1780229836024;;
592;180;0.4024515;0.3376548;0.4944872;0.3303161;606.1;0.1287794;True;5/31/2026 7:17:16 PM:94;1780229836094;;
586;190;0.3979824;0.3551546;0.3656581;0.4529058;601.5;0.1274952;True;5/31/2026 7:17:16 PM:176;1780229836176;;
525;203;0.3568422;0.3797511;0.2513695;0.5232137;599.0;0.1174397;True;5/31/2026 7:17:16 PM:242;1780229836242;;
518;203;0.3520435;0.3798593;0.3135538;0.3856562;595.0;0.1221525;True;5/31/2026 7:17:16 PM:326;1780229836326;;
508;219;0.34525;0.4099655;0.2917645;0.5784851;594.7;0.1289061;True;5/31/2026 7:17:16 PM:391;1780229836391;;
502;229;0.3409557;0.4283935;0.2917696;0.5784899;594.5;0.1288972;True;5/31/2026 7:17:16 PM:454;1780229836454;;
475;229;0.322684;0.4286738;0.2456268;0.4330181;594.4;0.129635;True;5/31/2026 7:17:16 PM:545;1780229836545;;
474;220;0.3219901;0.4121504;0.3077417;0.3081781;591.9;0.1242461;True;5/31/2026 7:17:16 PM:612;1780229836612;;
496;215;0.3371539;0.4018874;0.3877332;0.3169676;586.9;0.1246986;True;5/31/2026 7:17:16 PM:698;1780229836698;;
497;216;0.3376581;0.4046391;0.3475325;0.449148;584.2;0.1162615;True;5/31/2026 7:17:16 PM:760;1780229836760;;
500;216;0.3397011;0.404631;0.362515;0.4003283;581.8;0.1155271;True;5/31/2026 7:17:16 PM:838;1780229836838;;
497;217;0.3374945;0.4057183;0.310917;0.4373673;579.0;0.1121261;True;5/31/2026 7:17:16 PM:899;1780229836899;;
497;217;0.3380703;0.4068078;0.3512813;0.4435536;576.4;0.1122609;True;5/31/2026 7:17:16 PM:958;1780229836958;;
495;218;0.3360645;0.4085818;0.3121893;0.4537761;572.1;0.1106688;True;5/31/2026 7:17:17 PM:40;1780229837040;;
495;220;0.3360561;0.4127147;0.3300103;0.4886945;568.6;0.1206838;True;5/31/2026 7:17:17 PM:103;1780229837103;;
501;221;0.3404528;0.4136063;0.3758712;0.4649724;564.1;0.1177178;True;5/31/2026 7:17:17 PM:167;1780229837167;;
482;205;0.3274077;0.385008;0.2690277;0.2537571;560.1;0.117015;True;5/31/2026 7:17:17 PM:245;1780229837245;;
487;210;0.3308415;0.3943379;0.3612784;0.4892667;558.9;0.1168875;True;5/31/2026 7:17:17 PM:308;1780229837308;;
488;212;0.3317069;0.3965947;0.3495079;0.4562709;557.5;0.1214467;True;5/31/2026 7:17:17 PM:372;1780229837372;;
489;211;0.3323635;0.3951689;0.3492758;0.3718815;556.2;0.120861;True;5/31/2026 7:17:17 PM:447;1780229837447;;
481;215;0.3266614;0.4020529;0.2859371;0.4920295;553.2;0.1147089;True;5/31/2026 7:17:17 PM:507;1780229837507;;
470;235;0.3192331;0.4393022;0.2684029;0.636155;557.3;0.1353815;False;5/31/2026 7:17:17 PM:568;1780229837568;;
469;239;0.3187186;0.4483928;0.3004687;0.561803;561.0;0.134522;True;5/31/2026 7:17:17 PM:646;1780229837646;;
505;239;0.3434626;0.4485172;0.424143;0.5109524;561.4;0.1232565;True;5/31/2026 7:17:17 PM:708;1780229837708;;
494;245;0.3359956;0.459131;0.2845864;0.5941883;564.5;0.1356318;False;5/31/2026 7:17:17 PM:771;1780229837771;;
488;245;0.3314191;0.4595895;0.2882082;0.4657185;567.3;0.1347796;True;5/31/2026 7:17:17 PM:845;1780229837845;;
496;245;0.3368535;0.4582773;0.3720461;0.4395275;565.6;0.1274185;True;5/31/2026 7:17:17 PM:906;1780229837906;;
495;245;0.3366704;0.4596389;0.3239803;0.5172073;565.5;0.1337193;True;5/31/2026 7:17:17 PM:969;1780229837969;;
496;240;0.3367831;0.4498853;0.339877;0.3769096;565.4;0.1327433;True;5/31/2026 7:17:18 PM:45;1780229838045;;
528;241;0.3587903;0.4519219;0.438657;0.502542;564.8;0.1397932;False;5/31/2026 7:17:18 PM:106;1780229838106;;
502;234;0.3410216;0.4381163;0.2680179;0.3330498;564.2;0.1286308;True;5/31/2026 7:17:18 PM:168;1780229838168;;
502;168;0.3413917;0.3148681;0.3496934;0.03505354;563.6;0.1269812;True;5/31/2026 7:17:18 PM:246;1780229838246;;
502;166;0.3410497;0.3106942;0.3290068;0.2392977;568.9;0.1482249;False;5/31/2026 7:17:18 PM:307;1780229838307;;
523;183;0.3554562;0.3433558;0.4209123;0.5015105;568.0;0.1425972;False;5/31/2026 7:17:18 PM:369;1780229838369;;
546;189;0.370673;0.3539916;0.4367833;0.4483353;567.3;0.1413193;False;5/31/2026 7:17:18 PM:447;1780229838447;;
478;225;0.3251697;0.4215955;0.2192084;0.6697058;566.8;0.1433661;False;5/31/2026 7:17:18 PM:508;1780229838508;;
499;238;0.3393963;0.4461567;0.4131807;0.6144577;568.5;0.143107;False;5/31/2026 7:17:18 PM:570;1780229838570;;
560;238;0.380641;0.4461969;0.4887811;0.5037933;570.0;0.142722;False;5/31/2026 7:17:18 PM:645;1780229838645;;
632;246;0.4292996;0.4604676;0.5512891;0.6054078;575.9;0.1480398;False;5/31/2026 7:17:18 PM:709;1780229838709;;
686;245;0.4662965;0.458564;0.5748895;0.4375249;580.4;0.1441991;False;5/31/2026 7:17:18 PM:772;1780229838772;;
737;208;0.5005708;0.3903529;0.5967283;0.1944943;584.4;0.1441292;False;5/31/2026 7:17:18 PM:851;1780229838851;;
736;165;0.4998859;0.3098833;0.4907419;0.06092345;589.9;0.1307402;True;5/31/2026 7:17:18 PM:913;1780229838913;;
736;141;0.4997835;0.2636419;0.4970928;0.06488138;593.4;0.134593;True;5/31/2026 7:17:18 PM:976;1780229838976;;
738;124;0.5010813;0.2332042;0.52518;0.06779552;596.4;0.134397;True;5/31/2026 7:17:19 PM:52;1780229839052;;
700;128;0.475253;0.2409905;0.3940111;0.3060075;596.7;0.1337224;True;5/31/2026 7:17:19 PM:117;1780229839117;;
700;116;0.4758764;0.2179008;0.492824;0.06137629;596.3;0.1104615;True;5/31/2026 7:17:19 PM:178;1780229839178;;
666;102;0.4525184;0.1914981;0.3782279;0.02753471;596.0;0.1101549;True;5/31/2026 7:17:19 PM:255;1780229839255;;
682;133;0.4635993;0.2497585;0.5214214;0.4425815;594.3;0.1180899;True;5/31/2026 7:17:19 PM:318;1780229839318;;
702;122;0.4770576;0.2289974;0.545168;0.07467309;591.4;0.1208308;True;5/31/2026 7:17:19 PM:380;1780229839380;;
688;110;0.4675547;0.206039;0.422804;0.0485076;588.7;0.1204415;True;5/31/2026 7:17:19 PM:460;1780229839460;;
704;109;0.4779527;0.2039967;0.5354286;0.1111903;590.5;0.1360743;False;5/31/2026 7:17:19 PM:526;1780229839526;;
713;114;0.4841988;0.2138758;0.534125;0.2803075;592.0;0.115183;True;5/31/2026 7:17:19 PM:589;1780229839589;;
705;104;0.4787448;0.1951421;0.4461852;0.05297754;593.3;0.1147741;True;5/31/2026 7:17:19 PM:669;1780229839669;;
698;156;0.4743337;0.2932552;0.4371607;0.5451016;597.3;0.1340183;True;5/31/2026 7:17:19 PM:730;1780229839730;;
689;135;0.4683175;0.2528184;0.4222244;0.04842453;597.6;0.1300779;True;5/31/2026 7:17:19 PM:797;1780229839797;;
686;120;0.4658073;0.2259612;0.431694;0.05021303;597.8;0.1291009;True;5/31/2026 7:17:19 PM:874;1780229839874;;
685;113;0.465686;0.212393;0.451042;0.05380663;600.8;0.1268038;True;5/31/2026 7:17:19 PM:937;1780229839937;;
665;109;0.451945;0.2051297;0.3784981;0.06509256;600.6;0.1143402;True;5/31/2026 7:17:20 PM:0;1780229840000;;
665;109;0.451823;0.2039945;0.4272358;0.1140849;604.4;0.1384756;False;5/31/2026 7:17:20 PM:80;1780229840080;;
614;170;0.4168794;0.3193795;0.3044326;0.5844104;607.8;0.1393127;False;5/31/2026 7:17:20 PM:138;1780229840138;;
562;194;0.3821346;0.3627523;0.2733241;0.5216859;604.6;0.120276;True;5/31/2026 7:17:20 PM:201;1780229840201;;
567;163;0.3849808;0.3063608;0.4056041;0.08559269;604.4;0.1185211;True;5/31/2026 7:17:20 PM:279;1780229840279;;
553;184;0.3754445;0.3449549;0.3130881;0.5071654;604.2;0.1193426;True;5/31/2026 7:17:20 PM:337;1780229840337;;
628;212;0.4264085;0.3973993;0.5376725;0.5960754;605.6;0.1287122;True;5/31/2026 7:17:20 PM:397;1780229840397;;
630;189;0.4280973;0.3546008;0.4437513;0.1740014;604.4;0.1274505;True;5/31/2026 7:17:20 PM:474;1780229840474;;
578;202;0.3930354;0.3784305;0.2878592;0.5128779;603.3;0.1284499;True;5/31/2026 7:17:20 PM:534;1780229840534;;
573;210;0.3892879;0.3933808;0.3486422;0.5086206;605.8;0.1275159;True;5/31/2026 7:17:20 PM:597;1780229840597;;
574;205;0.3897496;0.3843794;0.3964867;0.3060153;608.1;0.1269281;True;5/31/2026 7:17:20 PM:673;1780229840673;;
564;210;0.3829641;0.3930734;0.3307102;0.4818015;608.4;0.1016944;True;5/31/2026 7:17:20 PM:733;1780229840733;;
562;217;0.3822082;0.4073417;0.3560969;0.5296757;607.9;0.1087559;True;5/31/2026 7:17:20 PM:796;1780229840796;;
572;206;0.3883531;0.3852458;0.4228396;0.2686222;605.9;0.1052389;True;5/31/2026 7:17:20 PM:873;1780229840873;;
573;209;0.3890593;0.392368;0.4033629;0.478143;604.1;0.1063665;True;5/31/2026 7:17:20 PM:930;1780229840930;;
605;214;0.4112043;0.4013382;0.4920907;0.5018682;603.8;0.1198647;True;5/31/2026 7:17:20 PM:993;1780229840993;;
605;206;0.4112402;0.386526;0.4193702;0.2921921;603.6;0.1191478;True;5/31/2026 7:17:21 PM:70;1780229841070;;
645;217;0.4382511;0.4070308;0.5288242;0.5427584;601.5;0.1031538;True;5/31/2026 7:17:21 PM:135;1780229841135;;
661;220;0.4491267;0.4125762;0.5143961;0.5002458;599.2;0.1320504;True;5/31/2026 7:17:21 PM:197;1780229841197;;
667;308;0.4532487;0.5768735;0.4982572;0.9031711;600.5;0.1543221;False;5/31/2026 7:17:21 PM:277;1780229841277;;
668;303;0.4536332;0.5675856;0.483283;0.4845849;601.7;0.1541542;False;5/31/2026 7:17:21 PM:339;1780229841339;;
669;308;0.4546075;0.5769618;0.4901915;0.672473;605.6;0.1543675;False;5/31/2026 7:17:21 PM:402;1780229841402;;
603;317;0.4100352;0.5929771;0.3196155;0.7162193;606.3;0.1540993;False;5/31/2026 7:17:21 PM:479;1780229841479;;
619;317;0.4205858;0.5933697;0.4899701;0.6446512;607.0;0.155818;False;5/31/2026 7:17:21 PM:537;1780229841537;;
629;317;0.4274751;0.5936126;0.4883845;0.6328207;606.9;0.1465341;False;5/31/2026 7:17:21 PM:601;1780229841601;;
630;321;0.4281677;0.6007053;0.4426143;0.7005103;609.7;0.1476314;False;5/31/2026 7:17:21 PM:680;1780229841680;;
636;321;0.4320467;0.6000392;0.4827214;0.5896386;612.3;0.1483882;False;5/31/2026 7:17:21 PM:742;1780229841742;;
645;333;0.4385383;0.6234939;0.5004596;0.787115;612.4;0.1502591;False;5/31/2026 7:17:21 PM:806;1780229841806;;
613;339;0.4163703;0.6346174;0.3556245;0.7597321;611.1;0.1566027;False;5/31/2026 7:17:21 PM:887;1780229841887;;
626;348;0.4256484;0.650755;0.490413;0.8156418;610.0;0.1583592;False;5/31/2026 7:17:21 PM:945;1780229841945;;
633;345;0.4302976;0.6452869;0.481749;0.603719;615.3;0.15273;False;5/31/2026 7:17:22 PM:11;1780229842011;;
634;360;0.4308768;0.6737166;0.4457205;0.8457337;617.5;0.1522361;False;5/31/2026 7:17:22 PM:90;1780229842090;;
673;359;0.457242;0.6713653;0.5590858;0.6455528;619.6;0.152597;False;5/31/2026 7:17:22 PM:148;1780229842148;;
677;377;0.4596215;0.7062913;0.5031258;0.9062941;620.0;0.1473498;False;5/31/2026 7:17:22 PM:209;1780229842209;;
664;390;0.4510317;0.7302282;0.4133182;0.8993126;621.3;0.148216;False;5/31/2026 7:17:22 PM:288;1780229842288;;
688;387;0.4676131;0.7238138;0.5473533;0.6731485;622.5;0.1486055;False;5/31/2026 7:17:22 PM:345;1780229842345;;
689;334;0.4683993;0.6247272;0.4963844;0.3686571;626.0;0.1471308;False;5/31/2026 7:17:22 PM:407;1780229842407;;
