X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
775;36;0.5265346;0.0679281;0.5265346;0.0679281;563.1;0.1335596;True;5/31/2026 7:21:18 PM:754;1780230078754;;
762;36;0.5179386;0.06786057;0.4718944;0.06073669;565.0;0.1430712;False;5/31/2026 7:21:18 PM:841;1780230078841;;
219;99;0.1491294;0.1860653;0.06088483;0.3138768;546.7;0.1578642;False;5/31/2026 7:21:34 PM:384;1780230094384;;
214;121;0.1457894;0.2264344;0.0516132;0.4819093;530.3;0.1589217;False;5/31/2026 7:21:34 PM:445;1780230094445;;
209;103;0.1419391;0.1932784;0.1143208;0.07237227;514.0;0.1460288;False;5/31/2026 7:21:34 PM:508;1780230094508;;
204;90;0.1390834;0.1696738;0.116397;0.07013135;499.3;0.1471098;False;5/31/2026 7:21:34 PM:590;1780230094590;;
202;84;0.137596;0.1578656;0.1105805;0.06947977;492.5;0.1384068;False;5/31/2026 7:21:34 PM:654;1780230094654;;
201;80;0.1366166;0.1502572;0.1224958;0.06874745;486.3;0.1306351;True;5/31/2026 7:21:34 PM:716;1780230094716;;
307;78;0.2089588;0.1472861;0.3185085;0.09166141;486.2;0.11945;True;5/31/2026 7:21:34 PM:796;1780230094796;;
313;77;0.2130763;0.144384;0.2384582;0.07710368;486.0;0.1174642;True;5/31/2026 7:21:34 PM:855;1780230094855;;
289;79;0.1962783;0.1490128;0.1150524;0.201368;475.1;0.09494731;True;5/31/2026 7:21:34 PM:920;1780230094920;;
269;77;0.1827904;0.1442731;0.1094386;0.07503561;460.8;0.1256922;True;5/31/2026 7:21:34 PM:998;1780230094998;;
257;75;0.1746048;0.1415075;0.104477;0.07321839;448.0;0.1242874;True;5/31/2026 7:21:35 PM:58;1780230095058;;
252;74;0.1712274;0.1391408;0.114592;0.06899001;442.0;0.1244073;True;5/31/2026 7:21:35 PM:120;1780230095120;;
