X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
494;100;0.3353823;0.1869512;0.3353823;0.1869512;235.6;0.150149;False;5/31/2026 6:56:36 PM:425;1780228596425;;
514;118;0.3495863;0.220703;0.4044077;0.3620549;236.8;0.1593169;False;5/31/2026 6:56:36 PM:528;1780228596528;;
516;119;0.3506911;0.224052;0.3784181;0.3024363;237.9;0.1594506;False;5/31/2026 6:56:36 PM:590;1780228596590;;
729;165;0.4953882;0.3085972;0.6086552;0.4997437;242.9;0.1699639;False;5/31/2026 6:56:36 PM:803;1780228596803;;
744;171;0.5056281;0.3212713;0.5672452;0.4820429;247.4;0.1714426;False;5/31/2026 6:56:36 PM:868;1780228596868;;
742;177;0.5043567;0.3308435;0.4898077;0.4888201;252.8;0.1498986;False;5/31/2026 6:56:36 PM:930;1780228596930;;
741;181;0.5037254;0.3397153;0.4924139;0.5012006;257.6;0.1494779;False;5/31/2026 6:56:36 PM:990;1780228596990;;
690;134;0.4685047;0.2518274;0.3727254;0.03960409;265.1;0.1707073;False;5/31/2026 6:56:37 PM:57;1780228597057;;
519;108;0.3523482;0.2029095;0.192202;0.03352965;272.5;0.1716698;False;5/31/2026 6:56:37 PM:120;1780228597120;;
432;94;0.2933784;0.1757752;0.1827323;0.03862028;279.2;0.1717091;False;5/31/2026 6:56:37 PM:181;1780228597181;;
440;89;0.2990693;0.1665175;0.3632003;0.08406541;285.8;0.1853306;False;5/31/2026 6:56:37 PM:252;1780228597252;;
459;82;0.3116398;0.1547906;0.3970789;0.04652741;293.9;0.1910435;False;5/31/2026 6:56:37 PM:316;1780228597316;;
459;78;0.311711;0.1461626;0.3582756;0.03829569;301.3;0.1907775;False;5/31/2026 6:56:37 PM:376;1780228597376;;
487;76;0.3311045;0.1422283;0.4315597;0.05520704;307.5;0.192273;False;5/31/2026 6:56:37 PM:438;1780228597438;;
500;74;0.3395855;0.1391876;0.4197322;0.05208286;313.1;0.1922444;False;5/31/2026 6:56:37 PM:499;1780228597499;;
502;74;0.3409237;0.1383452;0.3554444;0.1035554;318.5;0.1804883;False;5/31/2026 6:56:37 PM:563;1780228597563;;
465;68;0.3161699;0.1272563;0.2656644;0.01983906;328.2;0.1788343;False;5/31/2026 6:56:37 PM:700;1780228597700;;
465;67;0.3162483;0.126845;0.3223039;0.0620061;336.9;0.1787682;False;5/31/2026 6:56:37 PM:758;1780228597758;;
647;61;0.4394467;0.1158164;0.5060861;0.06494598;352.9;0.1286742;True;5/31/2026 6:57:08 PM:121;1780228628121;;
648;61;0.4400128;0.1157665;0.5080807;0.06549977;367.3;0.1245414;True;5/31/2026 6:57:08 PM:187;1780228628187;;
651;61;0.4423294;0.1152259;0.4626729;0.05591232;377.1;0.149593;False;5/31/2026 6:57:08 PM:250;1780228628250;;
620;60;0.4215479;0.1137807;0.3612802;0.04167576;383.6;0.1457547;False;5/31/2026 6:57:08 PM:311;1780228628311;;
603;60;0.4093782;0.1127277;0.3612894;0.04167599;389.4;0.14575;False;5/31/2026 6:57:08 PM:376;1780228628376;;
606;58;0.4116027;0.1098149;0.4505877;0.01934263;394.9;0.1340383;True;5/31/2026 6:57:08 PM:439;1780228628439;;
608;57;0.4128853;0.1080759;0.4495892;0.02072393;399.8;0.1341439;True;5/31/2026 6:57:08 PM:496;1780228628496;;
601;57;0.4085629;0.1065585;0.3807642;0.01945527;402.7;0.1656195;False;5/31/2026 6:57:08 PM:560;1780228628560;;
366;72;0.2488815;0.1346043;0.113677;0.2342146;410.3;0.1389013;False;5/31/2026 6:57:08 PM:673;1780228628673;;
308;70;0.2093641;0.1315324;0.1194979;0.06514179;417.2;0.1396537;False;5/31/2026 6:57:08 PM:731;1780228628731;;
275;68;0.1870831;0.1288043;0.1237981;0.0625264;422.3;0.1297776;True;5/31/2026 6:57:08 PM:803;1780228628803;;
325;64;0.2209052;0.1210898;0.3292863;0.01392448;427.6;0.1394025;False;5/31/2026 6:57:08 PM:865;1780228628865;;
325;61;0.2212248;0.1158131;0.2312223;0.01507819;432.2;0.1060431;True;5/31/2026 6:57:08 PM:929;1780228628929;;
526;93;0.357286;0.175567;0.5328616;0.3711354;432.5;0.1060137;True;5/31/2026 6:57:08 PM:993;1780228628993;;
590;112;0.4006531;0.2111367;0.4966829;0.3742001;457.8;0.1159361;True;5/31/2026 6:57:09 PM:55;1780228629055;;
509;98;0.3456702;0.1850171;0.2128023;0.03014879;459.0;0.1084664;True;5/31/2026 6:57:09 PM:117;1780228629117;;
358;153;0.2436659;0.2866073;0.0822244;0.5580903;453.5;0.110234;True;5/31/2026 6:57:09 PM:178;1780228629178;;
475;134;0.3225746;0.2516723;0.4666846;0.06967734;453.6;0.1011715;True;5/31/2026 6:57:09 PM:242;1780228629242;;
314;112;0.2136261;0.2096052;0.1188754;0.06973854;448.4;0.1129251;True;5/31/2026 6:57:09 PM:504;1780228629504;;
441;139;0.2997761;0.2615005;0.4219132;0.4180953;440.7;0.109757;True;5/31/2026 6:57:09 PM:584;1780228629584;;
365;127;0.248455;0.238106;0.1176605;0.07177082;436.7;0.1208672;True;5/31/2026 6:57:09 PM:645;1780228629645;;
323;118;0.2196348;0.2215972;0.1198232;0.06908228;434.2;0.1183374;True;5/31/2026 6:57:09 PM:709;1780228629709;;
293;112;0.1995163;0.2111268;0.111124;0.07112319;432.0;0.1205822;True;5/31/2026 6:57:09 PM:772;1780228629772;;
280;110;0.1904485;0.2057097;0.1213119;0.08030759;428.8;0.1134463;True;5/31/2026 6:57:09 PM:834;1780228629834;;
264;123;0.1796553;0.230988;0.10364;0.3460475;425.6;0.1253314;True;5/31/2026 6:57:09 PM:896;1780228629896;;
259;122;0.1760001;0.2285021;0.1184754;0.1468193;423.0;0.1271102;True;5/31/2026 6:57:09 PM:958;1780228629958;;
254;114;0.1729784;0.2146903;0.1160249;0.07019557;421.0;0.1232477;True;5/31/2026 6:57:10 PM:21;1780228630021;;
343;129;0.2330327;0.2423967;0.3378316;0.3655406;420.1;0.1259448;True;5/31/2026 6:57:10 PM:89;1780228630089;;
316;118;0.2145797;0.2221972;0.1188943;0.06974052;419.2;0.1232473;True;5/31/2026 6:57:10 PM:152;1780228630152;;
312;147;0.2120235;0.2764101;0.1545151;0.4678902;416.6;0.1226698;True;5/31/2026 6:57:10 PM:214;1780228630214;;
307;129;0.2087587;0.242511;0.1465742;0.05823572;415.6;0.1331376;True;5/31/2026 6:57:10 PM:276;1780228630276;;
616;120;0.4188395;0.2253756;0.6027433;0.07642277;413.9;0.1273156;True;5/31/2026 6:57:10 PM:338;1780228630338;;
608;110;0.4132732;0.2067609;0.393836;0.04420511;411.3;0.1222623;True;5/31/2026 6:57:10 PM:401;1780228630401;;
604;104;0.4100485;0.1947648;0.3938583;0.04420987;408.8;0.1222581;True;5/31/2026 6:57:10 PM:460;1780228630460;;
610;103;0.4145755;0.1930719;0.4323848;0.09022367;408.8;0.1293488;True;5/31/2026 6:57:10 PM:524;1780228630524;;
628;100;0.4267741;0.1873539;0.471089;0.05593712;408.3;0.1284743;True;5/31/2026 6:57:10 PM:586;1780228630586;;
641;96;0.435421;0.1807913;0.475868;0.04029711;408.9;0.1266426;True;5/31/2026 6:57:10 PM:648;1780228630648;;
643;93;0.4366455;0.1742617;0.4503957;0.02919767;409.1;0.1351264;False;5/31/2026 6:57:10 PM:711;1780228630711;;
673;90;0.4575097;0.168739;0.5314108;0.02365782;408.8;0.1312115;True;5/31/2026 6:57:10 PM:778;1780228630778;;
729;90;0.4949218;0.1685198;0.5963254;0.04951537;407.9;0.1429592;False;5/31/2026 6:57:10 PM:841;1780228630841;;
732;87;0.4974452;0.1643739;0.5277745;0.02121533;408.0;0.1458483;False;5/31/2026 6:57:10 PM:905;1780228630905;;
