X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
604;290;0.4106531;0.543181;0.4106531;0.543181;424.6;0.187887;False;5/31/2026 6:27:41 PM:38;1780226861038;;
608;291;0.4130837;0.5450398;0.4342304;0.5763791;423.1;0.1665428;False;5/31/2026 6:27:41 PM:207;1780226861207;;
347;291;0.2357161;0.5452142;0.08678946;0.5664155;425.0;0.1499911;False;5/31/2026 6:27:41 PM:306;1780226861306;;
306;291;0.2080911;0.5443513;0.1427255;0.5230803;423.9;0.1581509;False;5/31/2026 6:27:41 PM:374;1780226861374;;
277;279;0.1886316;0.522045;0.129754;0.3871526;424.3;0.1641348;False;5/31/2026 6:27:41 PM:443;1780226861443;;
279;278;0.190007;0.5201399;0.2267072;0.4662992;424.5;0.1590493;False;5/31/2026 6:27:41 PM:508;1780226861508;;
279;276;0.1900512;0.5173266;0.2175412;0.4480232;424.7;0.1597334;False;5/31/2026 6:27:41 PM:568;1780226861568;;
326;276;0.2217605;0.5168396;0.3246117;0.4698645;423.5;0.1636;False;5/31/2026 6:27:41 PM:640;1780226861640;;
520;276;0.3531004;0.5165854;0.5267587;0.4712246;421.6;0.1671721;False;5/31/2026 6:27:41 PM:707;1780226861707;;
606;274;0.4118303;0.5130884;0.5289962;0.4298475;420.0;0.1678257;False;5/31/2026 6:27:41 PM:767;1780226861767;;
628;274;0.4269425;0.5125474;0.4840108;0.4535938;419.1;0.1649821;False;5/31/2026 6:27:41 PM:833;1780226861833;;
583;274;0.3962696;0.5132654;0.3002318;0.524233;419.3;0.1614142;False;5/31/2026 6:27:41 PM:900;1780226861900;;
558;275;0.3792214;0.5143809;0.2999494;0.5348992;419.5;0.1620381;False;5/31/2026 6:27:41 PM:966;1780226861966;;
546;275;0.371105;0.514883;0.3088246;0.529671;422.2;0.1442519;False;5/31/2026 6:27:42 PM:32;1780226862032;;
518;276;0.3517115;0.5160684;0.2622305;0.5458481;424.4;0.1444186;False;5/31/2026 6:27:42 PM:95;1780226862095;;
505;276;0.343026;0.5166393;0.2724188;0.5412466;426.3;0.1449845;False;5/31/2026 6:27:42 PM:158;1780226862158;;
483;280;0.3282449;0.5241027;0.2422366;0.611501;427.5;0.1448469;False;5/31/2026 6:27:42 PM:222;1780226862222;;
430;280;0.292258;0.5246223;0.1754928;0.5624685;427.8;0.1418352;False;5/31/2026 6:27:42 PM:289;1780226862289;;
404;281;0.2743892;0.5260254;0.1824004;0.5795441;428.1;0.1426895;False;5/31/2026 6:27:42 PM:354;1780226862354;;
403;281;0.2737377;0.5262743;0.2408026;0.5511261;430.3;0.1377254;False;5/31/2026 6:27:42 PM:422;1780226862422;;
402;282;0.2734152;0.5278521;0.2395255;0.5868796;432.3;0.1385506;False;5/31/2026 6:27:42 PM:481;1780226862481;;
421;283;0.2861457;0.5295924;0.3349199;0.5934969;432.7;0.1470713;False;5/31/2026 6:27:42 PM:545;1780226862545;;
428;262;0.2906791;0.4913828;0.3208582;0.3304388;432.1;0.1125263;True;5/31/2026 6:27:42 PM:609;1780226862609;;
432;251;0.2934602;0.4695928;0.3212178;0.3305774;431.6;0.1128743;True;5/31/2026 6:27:42 PM:668;1780226862668;;
437;253;0.2969767;0.4742298;0.3310851;0.5355296;430.6;0.1264886;True;5/31/2026 6:27:42 PM:731;1780226862731;;
461;195;0.3132495;0.3662451;0.3863331;0.08437402;429.4;0.122367;True;5/31/2026 6:27:42 PM:796;1780226862796;;
475;164;0.3229322;0.3078597;0.3864853;0.08444206;428.3;0.1225184;True;5/31/2026 6:27:42 PM:857;1780226862857;;
481;171;0.3271894;0.3202873;0.3762933;0.4189126;427.5;0.1228134;True;5/31/2026 6:27:42 PM:919;1780226862919;;
482;174;0.3276132;0.3263724;0.3404999;0.4052311;426.6;0.1198176;True;5/31/2026 6:27:42 PM:983;1780226862983;;
482;176;0.3278756;0.3306808;0.3423291;0.4078909;425.7;0.120233;True;5/31/2026 6:27:43 PM:43;1780226863043;;
486;175;0.3305537;0.3274791;0.3721313;0.2848436;425.1;0.1200568;True;5/31/2026 6:27:43 PM:105;1780226863105;;
487;174;0.3307238;0.3268739;0.3567611;0.3078467;424.5;0.1203111;True;5/31/2026 6:27:43 PM:164;1780226863164;;
505;183;0.3428767;0.3435922;0.4159827;0.4681662;423.5;0.1208473;True;5/31/2026 6:27:43 PM:231;1780226863231;;
502;182;0.3412876;0.3416168;0.328143;0.3096645;422.2;0.1083175;True;5/31/2026 6:27:43 PM:296;1780226863296;;
500;183;0.3397064;0.3425916;0.3228621;0.3812816;421.0;0.1084546;True;5/31/2026 6:27:43 PM:356;1780226863356;;
500;192;0.3396509;0.359272;0.3379256;0.4912375;423.0;0.1286099;True;5/31/2026 6:27:43 PM:420;1780226863420;;
