X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
468;224;0.3180045;0.4190147;0.3180045;0.4190147;609.4;0.1285031;True;5/31/2026 7:19:28 PM:25;1780229968025;;
471;225;0.3202916;0.4207408;0.3391181;0.4484493;606.0;0.12401;True;5/31/2026 7:19:28 PM:273;1780229968273;;
471;222;0.3202604;0.4164354;0.3192291;0.3579364;603.0;0.1261459;True;5/31/2026 7:19:28 PM:333;1780229968333;;
471;224;0.3199772;0.4196222;0.3158192;0.4567789;601.6;0.1323585;True;5/31/2026 7:19:28 PM:575;1780229968575;;
477;224;0.324186;0.4205374;0.3630692;0.4632231;600.4;0.1346355;True;5/31/2026 7:19:28 PM:636;1780229968636;;
473;206;0.3214613;0.3866686;0.300675;0.263705;593.7;0.1314399;True;5/31/2026 7:19:28 PM:764;1780229968764;;
474;201;0.3220582;0.3768042;0.3352697;0.2689142;587.7;0.1339397;True;5/31/2026 7:19:28 PM:826;1780229968826;;
463;200;0.3143398;0.3752007;0.2893331;0.331314;580.1;0.1281475;True;5/31/2026 7:19:31 PM:358;1780229971358;;
462;200;0.3142755;0.3742764;0.2903886;0.3149032;573.3;0.1284718;True;5/31/2026 7:19:31 PM:416;1780229971416;;
309;245;0.2099208;0.4583378;0.1256318;0.5802287;548.0;0.2016746;False;5/31/2026 7:19:32 PM:77;1780229972077;;
298;252;0.2023581;0.4717088;0.1208188;0.6260509;525.1;0.1995804;False;5/31/2026 7:19:32 PM:135;1780229972135;;
300;253;0.2040287;0.4746074;0.2090546;0.5005747;506.6;0.1320329;True;5/31/2026 7:19:32 PM:358;1780229972358;;
277;254;0.1885248;0.4751524;0.1073175;0.502158;489.9;0.1287927;True;5/31/2026 7:19:32 PM:418;1780229972418;;
251;254;0.1710035;0.4755388;0.08455655;0.5040171;480.7;0.1552559;False;5/31/2026 7:19:32 PM:480;1780229972480;;
234;254;0.1593688;0.4758893;0.08708565;0.5209303;472.4;0.1552362;False;5/31/2026 7:19:32 PM:554;1780229972554;;
222;249;0.151206;0.4661787;0.08036277;0.3878268;460.9;0.1592636;False;5/31/2026 7:19:32 PM:618;1780229972618;;
221;199;0.1504117;0.3734687;0.1215302;0.1123651;451.9;0.1563309;False;5/31/2026 7:19:32 PM:682;1780229972682;;
221;188;0.1501759;0.3526173;0.1124102;0.2268616;443.8;0.1560501;False;5/31/2026 7:19:32 PM:762;1780229972762;;
218;159;0.1486128;0.2987429;0.1012583;0.07427234;439.9;0.149566;False;5/31/2026 7:19:32 PM:825;1780229972825;;
217;148;0.1477562;0.2769031;0.1235518;0.1131501;430.6;0.1287768;True;5/31/2026 7:19:32 PM:887;1780229972887;;
216;145;0.1471782;0.2719387;0.1210762;0.1700764;422.2;0.1300214;True;5/31/2026 7:19:32 PM:965;1780229972965;;
214;145;0.1455212;0.2711623;0.1019869;0.2132664;416.0;0.1593826;False;5/31/2026 7:19:33 PM:28;1780229973028;;
212;144;0.1445544;0.2703767;0.1036651;0.2551266;411.7;0.1625998;False;5/31/2026 7:19:33 PM:94;1780229973094;;
211;142;0.1437974;0.2659681;0.1194145;0.1761076;406.0;0.1642011;False;5/31/2026 7:19:33 PM:177;1780229973177;;
211;133;0.1432458;0.2496106;0.1246383;0.09129213;400.8;0.1622193;False;5/31/2026 7:19:33 PM:236;1780229973236;;
202;173;0.1377711;0.3237382;0.07986612;0.538792;399.9;0.1428565;False;5/31/2026 7:19:33 PM:297;1780229973297;;
193;206;0.1310733;0.3856658;0.07110322;0.5683317;398.5;0.1298847;True;5/31/2026 7:19:33 PM:381;1780229973381;;
188;219;0.1282043;0.4108431;0.07311243;0.56163;397.3;0.129634;True;5/31/2026 7:19:33 PM:440;1780229973440;;
186;221;0.1263031;0.4148278;0.07468766;0.4848039;395.8;0.1244054;True;5/31/2026 7:19:33 PM:504;1780229973504;;
210;222;0.143225;0.4155996;0.1927126;0.4584792;394.7;0.1266799;True;5/31/2026 7:19:33 PM:587;1780229973587;;
200;234;0.1364287;0.4376681;0.07669488;0.5975385;393.7;0.1274466;True;5/31/2026 7:19:33 PM:647;1780229973647;;
194;273;0.1319153;0.5106198;0.0781439;0.7726592;392.8;0.1178356;True;5/31/2026 7:19:33 PM:713;1780229973713;;
189;287;0.128311;0.5373511;0.07747898;0.7089952;398.3;0.1149714;True;5/31/2026 7:19:33 PM:793;1780229973793;;
192;196;0.130514;0.3679543;0.1458195;0.05832918;408.3;0.09194569;True;5/31/2026 7:19:33 PM:858;1780229973858;;
193;153;0.1310543;0.286727;0.1380975;0.06230192;417.3;0.09207491;True;5/31/2026 7:19:33 PM:918;1780229973918;;
199;121;0.1354173;0.2263199;0.164363;0.04850848;423.6;0.1017599;True;5/31/2026 7:19:34 PM:0;1780229974000;;
192;153;0.1303615;0.2867887;0.08770153;0.5186034;420.1;0.1038043;True;5/31/2026 7:19:34 PM:62;1780229974062;;
187;172;0.1271611;0.3219252;0.08771304;0.5186819;416.8;0.1038099;True;5/31/2026 7:19:34 PM:123;1780229974123;;
432;133;0.293384;0.2501086;0.4509106;0.05364651;415.1;0.09126537;True;5/31/2026 7:19:34 PM:203;1780229974203;;
430;112;0.2921853;0.2096884;0.2187577;0.0305207;409.3;0.1021446;True;5/31/2026 7:19:34 PM:265;1780229974265;;
426;102;0.2895041;0.1920298;0.259664;0.05632383;404.0;0.1023732;True;5/31/2026 7:19:34 PM:322;1780229974322;;
373;176;0.2537501;0.329692;0.133805;0.6111276;399.1;0.1133672;True;5/31/2026 7:19:34 PM:399;1780229974399;;
319;188;0.217137;0.3529783;0.08737656;0.4927854;394.7;0.1129258;True;5/31/2026 7:19:34 PM:457;1780229974457;;
533;208;0.3619424;0.3891711;0.5213878;0.5704579;391.3;0.1174074;True;5/31/2026 7:19:34 PM:518;1780229974518;;
573;207;0.3892489;0.388699;0.440556;0.3781298;389.7;0.1119814;True;5/31/2026 7:19:34 PM:599;1780229974599;;
417;263;0.2836074;0.4924569;0.1034612;0.7803672;390.5;0.09941208;True;5/31/2026 7:19:34 PM:661;1780229974661;;
342;293;0.2326228;0.5486602;0.1034475;0.7803612;391.3;0.0994038;True;5/31/2026 7:19:34 PM:720;1780229974720;;
339;360;0.2303783;0.6730211;0.1977221;0.9642481;391.9;0.09942964;True;5/31/2026 7:19:34 PM:800;1780229974800;;
334;252;0.2273784;0.4728851;0.1852111;0.1159768;394.7;0.107824;True;5/31/2026 7:19:34 PM:861;1780229974861;;
331;199;0.2253879;0.3730329;0.1851635;0.1159709;397.2;0.1078053;True;5/31/2026 7:19:34 PM:920;1780229974920;;
352;194;0.2394834;0.3634668;0.2897542;0.2983371;401.5;0.1023452;True;5/31/2026 7:19:35 PM:1;1780229975001;;
304;189;0.2069129;0.3534712;0.1053035;0.2646655;402.2;0.1112059;True;5/31/2026 7:19:35 PM:62;1780229975062;;
277;185;0.1880873;0.3469014;0.1053011;0.2646784;402.8;0.1112196;True;5/31/2026 7:19:35 PM:122;1780229975122;;
248;189;0.1686132;0.3548717;0.09125196;0.4254699;404.3;0.1063489;True;5/31/2026 7:19:35 PM:205;1780229975205;;
236;191;0.160447;0.358002;0.09562752;0.4166862;406.7;0.1154072;True;5/31/2026 7:19:35 PM:268;1780229975268;;
228;192;0.1553487;0.3600604;0.09561372;0.4167978;408.9;0.1154206;True;5/31/2026 7:19:35 PM:326;1780229975326;;
228;243;0.1549949;0.4560515;0.1514079;0.7110294;410.3;0.1132955;True;5/31/2026 7:19:35 PM:410;1780229975410;;
301;229;0.2047641;0.4289916;0.3085955;0.2946147;412.1;0.107212;True;5/31/2026 7:19:35 PM:475;1780229975475;;
333;219;0.2261379;0.409606;0.2982596;0.2799013;413.8;0.1071937;True;5/31/2026 7:19:35 PM:536;1780229975536;;
525;238;0.3569026;0.4450851;0.4998955;0.5962255;413.7;0.09770654;True;5/31/2026 7:19:35 PM:621;1780229975621;;
628;219;0.4268988;0.4105943;0.543145;0.2457771;414.0;0.1208959;True;5/31/2026 7:19:35 PM:684;1780229975684;;
674;219;0.4580836;0.4101246;0.5354918;0.3839696;414.2;0.1208828;True;5/31/2026 7:19:35 PM:746;1780229975746;;
693;228;0.4706629;0.4267354;0.5134407;0.531993;415.7;0.1298661;True;5/31/2026 7:19:35 PM:831;1780229975831;;
713;227;0.484695;0.4261493;0.5440744;0.408957;415.7;0.1369936;False;5/31/2026 7:19:35 PM:893;1780229975893;;
721;235;0.4895561;0.439407;0.5278183;0.5546669;415.4;0.1296004;True;5/31/2026 7:19:35 PM:955;1780229975955;;
721;244;0.4900511;0.4563722;0.5045614;0.5878316;415.2;0.1296801;True;5/31/2026 7:19:36 PM:32;1780229976032;;
725;272;0.492317;0.5091515;0.523753;0.741259;415.2;0.1340058;True;5/31/2026 7:19:36 PM:95;1780229976095;;
735;260;0.4991584;0.4869949;0.5511203;0.3773611;419.1;0.1092411;True;5/31/2026 7:19:36 PM:165;1780229976165;;
739;257;0.5019875;0.4807765;0.5420647;0.420424;422.6;0.109313;True;5/31/2026 7:19:36 PM:242;1780229976242;;
