X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
705;334;0.4791402;0.6252069;0.4791402;0.6252069;444.6;0.1130607;True;5/31/2026 7:04:26 PM:545;1780229066545;;
702;330;0.4772304;0.6168656;0.454859;0.5400467;433.0;0.1203139;True;5/31/2026 7:04:26 PM:636;1780229066636;;
555;217;0.3773791;0.4072727;0.2246988;0.02579692;422.0;0.09156909;True;5/31/2026 7:04:26 PM:701;1780229066701;;
388;170;0.2640454;0.3191174;0.1133853;0.06577051;411.3;0.1027929;True;5/31/2026 7:04:26 PM:764;1780229066764;;
313;144;0.2126626;0.2691807;0.1148924;0.0655193;401.6;0.1028122;True;5/31/2026 7:04:26 PM:825;1780229066825;;
274;126;0.1863602;0.2371626;0.1184243;0.06484902;391.4;0.09353962;True;5/31/2026 7:04:26 PM:891;1780229066891;;
253;117;0.1722391;0.2187348;0.1170614;0.06573591;382.2;0.09353684;True;5/31/2026 7:04:26 PM:949;1780229066949;;
254;142;0.1724468;0.2660435;0.1778878;0.4406353;375.2;0.09144409;True;5/31/2026 7:04:27 PM:14;1780229067014;;
244;127;0.1656642;0.237955;0.1246846;0.06866405;370.5;0.1088576;True;5/31/2026 7:04:27 PM:77;1780229067077;;
236;117;0.1603615;0.2202053;0.1193683;0.06806547;366.3;0.1088947;True;5/31/2026 7:04:27 PM:137;1780229067137;;
229;115;0.1557711;0.2158411;0.1142709;0.1146392;360.0;0.1147807;True;5/31/2026 7:04:27 PM:201;1780229067201;;
214;163;0.1458487;0.3050123;0.08310261;0.5440701;355.0;0.1184664;True;5/31/2026 7:04:27 PM:262;1780229067262;;
206;188;0.1400031;0.3514105;0.085862;0.530683;350.6;0.1185536;True;5/31/2026 7:04:27 PM:325;1780229067325;;
205;176;0.1396512;0.3307539;0.1238389;0.1858702;348.3;0.1141731;True;5/31/2026 7:04:27 PM:388;1780229067388;;
205;171;0.1395803;0.3211366;0.1168095;0.2027102;346.2;0.1141931;True;5/31/2026 7:04:27 PM:447;1780229067447;;
205;149;0.1395616;0.2791289;0.1177897;0.06450541;343.4;0.1224664;True;5/31/2026 7:04:27 PM:510;1780229067510;;
204;136;0.1391049;0.2550389;0.1115596;0.07288766;340.0;0.1168377;True;5/31/2026 7:04:27 PM:574;1780229067574;;
203;128;0.1384371;0.2395974;0.1076008;0.07194239;337.0;0.1168911;True;5/31/2026 7:04:27 PM:635;1780229067635;;
202;127;0.1373576;0.2374408;0.102622;0.2002892;333.1;0.1229669;True;5/31/2026 7:04:27 PM:704;1780229067704;;
202;201;0.1376384;0.3758278;0.1411658;0.6680033;330.5;0.1156577;True;5/31/2026 7:04:27 PM:765;1780229067765;;
200;262;0.1360374;0.4897485;0.1006643;0.7642149;328.3;0.1156826;True;5/31/2026 7:04:27 PM:822;1780229067822;;
200;241;0.136015;0.4510208;0.1142663;0.2340759;325.8;0.1054009;True;5/31/2026 7:04:27 PM:883;1780229067883;;
200;225;0.1359762;0.4222937;0.1146718;0.2169268;323.5;0.1054277;True;5/31/2026 7:04:27 PM:942;1780229067942;;
199;188;0.1357672;0.3521823;0.1187148;0.07134631;323.9;0.1225135;True;5/31/2026 7:04:28 PM:6;1780229068006;;
195;199;0.1327805;0.3727895;0.08938367;0.4726506;322.9;0.1203942;True;5/31/2026 7:04:28 PM:69;1780229068069;;
192;210;0.1310071;0.3936777;0.09074982;0.5113568;321.9;0.1203901;True;5/31/2026 7:04:28 PM:128;1780229068128;;
209;161;0.1423787;0.302329;0.1893927;0.03516469;320.4;0.1297508;True;5/31/2026 7:04:28 PM:197;1780229068197;;
209;142;0.1419591;0.266364;0.1215629;0.07032488;319.4;0.1324238;True;5/31/2026 7:04:28 PM:257;1780229068257;;
208;133;0.1418392;0.248758;0.1246956;0.09194923;318.4;0.1326462;True;5/31/2026 7:04:28 PM:317;1780229068317;;
207;124;0.1407883;0.2326669;0.1125533;0.07432453;316.3;0.1229176;True;5/31/2026 7:04:28 PM:380;1780229068380;;
206;118;0.1398521;0.2219562;0.1105017;0.07417873;314.5;0.1229313;True;5/31/2026 7:04:28 PM:442;1780229068442;;
203;118;0.1384253;0.2208913;0.1037975;0.206688;313.9;0.1294744;True;5/31/2026 7:04:28 PM:506;1780229068506;;
202;119;0.1373771;0.2241033;0.1032206;0.256214;313.9;0.1245722;True;5/31/2026 7:04:28 PM:569;1780229068569;;
201;119;0.1364762;0.2236735;0.1015572;0.2032395;313.9;0.1245638;True;5/31/2026 7:04:28 PM:629;1780229068629;;
191;157;0.1303276;0.2945606;0.07019542;0.5178504;312.7;0.1300624;True;5/31/2026 7:04:28 PM:693;1780229068693;;
191;157;0.1300577;0.2947169;0.1011145;0.302262;311.0;0.1375281;False;5/31/2026 7:04:28 PM:758;1780229068758;;
191;157;0.1298675;0.2948253;0.1011125;0.3022623;309.4;0.137552;False;5/31/2026 7:04:28 PM:821;1780229068821;;
190;156;0.1293285;0.2925063;0.09377516;0.2428744;308.3;0.1512131;False;5/31/2026 7:04:28 PM:884;1780229068884;;
187;159;0.1271249;0.297831;0.07973878;0.3641424;307.3;0.1513356;False;5/31/2026 7:04:28 PM:944;1780229068944;;
187;139;0.1272735;0.2616539;0.1285756;0.1037384;304.7;0.1449766;False;5/31/2026 7:04:29 PM:27;1780229069027;;
187;130;0.1271152;0.2435675;0.1240444;0.1030114;302.5;0.1433872;False;5/31/2026 7:04:29 PM:92;1780229069092;;
186;142;0.126452;0.267169;0.1011691;0.3897398;300.9;0.1421363;False;5/31/2026 7:04:29 PM:160;1780229069160;;
188;154;0.1280319;0.2895781;0.1446429;0.4268116;299.5;0.1422904;False;5/31/2026 7:04:29 PM:221;1780229069221;;
181;171;0.1235106;0.3199523;0.07875673;0.4913723;297.9;0.140553;False;5/31/2026 7:04:29 PM:281;1780229069281;;
176;182;0.1200931;0.3403226;0.07652337;0.4954553;296.4;0.1405642;False;5/31/2026 7:04:29 PM:342;1780229069342;;
174;187;0.1185478;0.3504258;0.08271331;0.4757416;294.7;0.1348011;True;5/31/2026 7:04:29 PM:406;1780229069406;;
174;187;0.1185024;0.3500363;0.09474142;0.3444349;293.8;0.1338208;True;5/31/2026 7:04:29 PM:469;1780229069469;;
174;187;0.1183366;0.350486;0.0919387;0.3684287;293.0;0.1339232;True;5/31/2026 7:04:29 PM:528;1780229069528;;
173;183;0.1180035;0.3429265;0.1104568;0.2737358;292.0;0.1552201;False;5/31/2026 7:04:29 PM:590;1780229069590;;
173;180;0.1177749;0.3379888;0.1104497;0.2738716;291.1;0.155297;False;5/31/2026 7:04:29 PM:651;1780229069651;;
172;188;0.1171527;0.3518025;0.0926175;0.4607805;290.0;0.1463557;False;5/31/2026 7:04:29 PM:717;1780229069717;;
212;190;0.1442679;0.3561657;0.2218525;0.4287775;289.1;0.1449648;False;5/31/2026 7:04:29 PM:789;1780229069789;;
242;190;0.1643586;0.3562475;0.2403813;0.390888;288.2;0.1449311;False;5/31/2026 7:04:29 PM:848;1780229069848;;
240;195;0.1631615;0.3657289;0.1426859;0.4787726;288.7;0.1457563;False;5/31/2026 7:04:29 PM:909;1780229069909;;
225;198;0.1528512;0.3705736;0.09281255;0.4671297;289.1;0.1466605;False;5/31/2026 7:04:29 PM:972;1780229069972;;
215;199;0.1464924;0.3738103;0.0928125;0.4671342;289.4;0.1466676;False;5/31/2026 7:04:30 PM:30;1780229070030;;
215;200;0.1464809;0.3742531;0.1462494;0.4316356;288.8;0.1501418;False;5/31/2026 7:04:30 PM:93;1780229070093;;
271;190;0.1845731;0.3565802;0.2821051;0.2548043;288.9;0.1398922;False;5/31/2026 7:04:30 PM:157;1780229070157;;
271;184;0.1845261;0.3439924;0.1736589;0.2459584;289.1;0.1402985;False;5/31/2026 7:04:30 PM:217;1780229070217;;
259;154;0.1763166;0.2879003;0.1189582;0.0702512;288.7;0.145145;False;5/31/2026 7:04:30 PM:277;1780229070277;;
251;135;0.1709997;0.2540899;0.1189629;0.07025468;288.3;0.1452257;False;5/31/2026 7:04:30 PM:337;1780229070337;;
251;125;0.1706725;0.2347248;0.1592207;0.08213117;287.4;0.1512728;False;5/31/2026 7:04:30 PM:399;1780229070399;;
256;171;0.1743778;0.3206185;0.2022358;0.5587497;287.7;0.1266796;True;5/31/2026 7:04:30 PM:462;1780229070462;;
261;196;0.1776077;0.3666261;0.2080381;0.554697;287.9;0.1267489;True;5/31/2026 7:04:30 PM:521;1780229070521;;
312;217;0.2123596;0.4061009;0.3120013;0.5885634;288.2;0.1319461;True;5/31/2026 7:04:30 PM:581;1780229070581;;
327;233;0.2222983;0.4359706;0.2814716;0.6101166;288.5;0.1320756;True;5/31/2026 7:04:30 PM:641;1780229070641;;
326;233;0.2213395;0.4362265;0.2073078;0.4646897;288.3;0.1325956;True;5/31/2026 7:04:30 PM:705;1780229070705;;
373;233;0.2535815;0.4363758;0.3507982;0.4746916;287.4;0.1149129;True;5/31/2026 7:04:30 PM:769;1780229070769;;
385;233;0.2620412;0.4364396;0.320245;0.4736046;286.6;0.1150361;True;5/31/2026 7:04:30 PM:827;1780229070827;;
473;187;0.3215728;0.351174;0.4506277;0.1085219;285.0;0.1193531;True;5/31/2026 7:04:30 PM:891;1780229070891;;
507;167;0.3443378;0.3139937;0.4316815;0.1363531;283.6;0.1195106;True;5/31/2026 7:04:30 PM:949;1780229070949;;
423;203;0.2873408;0.3810621;0.1684432;0.6140843;283.3;0.09443087;True;5/31/2026 7:04:31 PM:10;1780229071010;;
322;224;0.2189317;0.4198206;0.094533;0.6072355;283.0;0.1044177;True;5/31/2026 7:04:31 PM:74;1780229071074;;
273;235;0.185733;0.4402391;0.09593182;0.596501;282.8;0.1044379;True;5/31/2026 7:04:31 PM:132;1780229071132;;
343;236;0.2328933;0.4420647;0.3513967;0.5162976;289.1;0.1303319;True;5/31/2026 7:04:31 PM:198;1780229071198;;
438;239;0.2976909;0.4468242;0.4317637;0.5479775;299.5;0.1586179;False;5/31/2026 7:04:31 PM:260;1780229071260;;
492;239;0.3340202;0.4482961;0.4371446;0.5313984;308.9;0.158468;False;5/31/2026 7:04:31 PM:320;1780229071320;;
463;197;0.3148383;0.3700154;0.2397494;0.1479249;327.9;0.1811822;False;5/31/2026 7:04:31 PM:384;1780229071384;;
436;178;0.2961271;0.3331195;0.2163363;0.1682583;345.1;0.1803871;False;5/31/2026 7:04:31 PM:443;1780229071443;;
642;105;0.4364949;0.1967844;0.5032753;0.06481378;398.2;0.09083898;True;5/31/2026 7:04:46 PM:654;1780229086654;;
643;105;0.4368861;0.196397;0.5032753;0.06481378;446.0;0.08470026;True;5/31/2026 7:04:46 PM:710;1780229086710;;
677;260;0.4599278;0.4870058;0.4862617;0.6019174;451.7;0.2008933;False;5/31/2026 7:06:43 PM:399;1780229203399;;
677;261;0.4600847;0.4895078;0.4882692;0.5678392;456.9;0.1873463;False;5/31/2026 7:06:43 PM:461;1780229203461;;
700;113;0.4755554;0.2116565;0.5138606;0.0662446;470.6;0.1505181;False;5/31/2026 7:07:08 PM:197;1780229228197;;
700;112;0.4758096;0.2111113;0.5109245;0.06585502;482.9;0.1470176;False;5/31/2026 7:07:08 PM:255;1780229228255;;
701;112;0.4760525;0.2106094;0.5107627;0.06584138;489.0;0.1344113;True;5/31/2026 7:07:08 PM:331;1780229228331;;
703;106;0.4775344;0.198523;0.5159904;0.0440541;491.2;0.1716993;False;5/31/2026 7:07:09 PM:570;1780229229570;;
703;105;0.4776294;0.1978606;0.5164033;0.04242535;493.2;0.1555793;False;5/31/2026 7:07:09 PM:628;1780229229628;;
498;107;0.3386869;0.2017354;0.2480113;0.2128425;500.8;0.154837;False;5/31/2026 7:07:09 PM:885;1780229229885;;
503;100;0.3415085;0.18719;0.3794355;0.04148242;507.6;0.1488391;False;5/31/2026 7:07:09 PM:946;1780229229946;;
463;92;0.3145618;0.1720329;0.2335156;0.01790313;511.8;0.1614777;False;5/31/2026 7:07:10 PM:10;1780229230010;;
454;84;0.3084018;0.1585782;0.2693576;0.007656749;515.6;0.1606696;False;5/31/2026 7:07:10 PM:84;1780229230084;;
679;82;0.461266;0.1536786;0.5339108;0.0689412;515.2;0.1463526;False;5/31/2026 7:07:16 PM:597;1780229236597;;
679;123;0.4614878;0.230375;0.5273125;0.4460707;514.7;0.150934;False;5/31/2026 7:07:16 PM:658;1780229236658;;
681;122;0.4627634;0.2298553;0.5214736;0.1837962;526.0;0.1704133;False;5/31/2026 7:07:16 PM:742;1780229236742;;
661;111;0.4493986;0.2092669;0.4066691;0.04579848;530.2;0.1751175;False;5/31/2026 7:07:16 PM:804;1780229236804;;
650;104;0.4416809;0.1958813;0.4067787;0.04581865;533.9;0.1752148;False;5/31/2026 7:07:16 PM:867;1780229236867;;
514;146;0.3490434;0.2736932;0.2250587;0.4696135;547.8;0.1857577;False;5/31/2026 7:07:16 PM:946;1780229236946;;
515;128;0.3498406;0.239298;0.3763304;0.04645734;565.7;0.2165709;False;5/31/2026 7:07:17 PM:9;1780229237009;;
516;117;0.3503511;0.2188082;0.3766254;0.0465114;581.8;0.2168204;False;5/31/2026 7:07:17 PM:67;1780229237067;;
356;110;0.2418229;0.2073693;0.1133154;0.07070763;591.9;0.245802;False;5/31/2026 7:07:17 PM:148;1780229237148;;
356;95;0.2421989;0.178463;0.2922094;0.02521461;592.5;0.2034979;False;5/31/2026 7:07:17 PM:381;1780229237381;;
504;95;0.3425829;0.1781768;0.5157703;0.06557209;593.1;0.220106;False;5/31/2026 7:07:17 PM:443;1780229237443;;
530;131;0.3598382;0.2456062;0.4295738;0.4092114;583.2;0.1768987;False;5/31/2026 7:07:17 PM:531;1780229237531;;
530;142;0.3600807;0.2655801;0.3660496;0.3742847;576.0;0.1590041;False;5/31/2026 7:07:17 PM:595;1780229237595;;
530;129;0.3601841;0.2419689;0.3745332;0.09734688;569.4;0.1623569;False;5/31/2026 7:07:17 PM:676;1780229237676;;
593;131;0.4031977;0.244928;0.5186245;0.2803138;587.1;0.1102199;True;5/31/2026 7:07:17 PM:739;1780229237739;;
903;118;0.6131608;0.2221481;0.6818516;0.1893875;574.0;0.1457331;False;5/31/2026 7:08:53 PM:527;1780229333527;;
906;119;0.6155796;0.2242725;0.6632217;0.2558773;562.2;0.1441608;False;5/31/2026 7:08:53 PM:594;1780229333594;;
752;157;0.5107103;0.2946148;0.4594264;0.3965843;551.4;0.1608119;False;5/31/2026 7:09:04 PM:616;1780229344616;;
750;154;0.5096164;0.2883639;0.4976055;0.2440448;541.7;0.1565975;False;5/31/2026 7:09:04 PM:678;1780229344678;;
